FullName,FirstName,LastName,Street,City,State,ZipCode,Region,Birthday,Age,Race_Ethnicity,Religion,RoleofFaith,AlcoholUse,DrugUse,Smoking,JobRetentionChallenges,DayOff,FavoritePlace,Personality,SocialStyle,SadnessResponse,AngerResponse,EducationLevel,ContinuingEducation,SupportNeeds,LivingSituation,CriminalHistory,Children,Connections,BioRelationships,Sexuality,Gender,BiologicalGender,Latitude ,Logatitude
Richard Mercado,Richard,Mercado,1572 GA_85 Suite 312,Fayetteville,Georgia,30214,4,3/1/1993,28,,Islam,Inclusive,None,None,None,,Movie/Play,Pampered,Friendly,Both,Advice,React,GED in progress,,"Budgeting,Parenting",College,None,None,,None,Bisexual,Male,Female,33.4478,-84.4617
Richard Petterson,Richard,Petterson,2219 Battlefield Pkwy,Fort Oglethorpe,Georgia,30742,1,12/19/1992,29,White,None,Exclusive,Irresponsibly,Addicted,"Occasional marijuana,Regular cigarettes",checked,Home,Nature,Friendly,Introverted,Self_Reliant,Withdraw,"GED in progress,Vocational/trade school certified",,"Social,Mental Health,Parenting,Legal,Medical,Resources",Friend/Family,None,None,,None,Homosexual,Other,Female,34.9456,-85.2456
Richard Williams,Richard,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Rick Bustamante,Rick,Bustamante,9148 Dr M L King Jr Ave,Covington,Georgia,30014,5,1/14/1993,29,White,Christianity,Unimportant,None,Regularly,"Occasional marijuana,Regular cigarettes,Occasional vape",checked,Movie/Play,Nature,Shy,Extraverted,Advice,React,"HS diploma in progress,College attending",,"Budgeting,Holidays",Couch_Hopping,Jail,None,,Important,Homosexual,Other,Male,33.6,-83.8667
Rickey Shick,Rickey,Shick,4495 Jonesboro Rd,Forest Park,Georgia,30297,13,4/22/1993,28,,Buddhism,Inclusive,None,Occasionally,None,checked,Friends/Family,Pampered,Friendly,Extraverted,Advice,Process,"HS diploma completed,College degree",,"Legal,Parenting,Job,Budgeting,Holidays",Program,None,None,,None,Bisexual,Female,Other,33.6197,-84.3658
Robert Henderson,Robert,Henderson,1248 Washington St,Jefferson,Georgia,30549,5,5/25/1993,28,Black/African American,Buddhism,Exclusive,Irresponsibly,Occasionally,Occasional marijuana,checked,Home,Pampered,Friendly,Both,Advice,Withdraw,GED in progress,,"Legal,Holidays,Budgeting",Independent,Current Probation,None,,Difficult,Homosexual,Male,Other,34.1175,-83.5734
Robert Metts,Robert,Metts,623 W Oglethorpe Hwy,Hinesville,Georgia,31313,12,9/27/1992,29,,None,Inclusive,Responsibly,None,None,,Movie/Play,New,Shy,Introverted,Self_Reliant,Reconcile,GED completed,,Parenting,Program,"Current Probation,Jail",None,,Difficult,Heterosexual,Male,Female,31.8325,-81.6117
Robert Troyer,Robert,Troyer,1240 Georgia 54 W #201,Fayetteville,Georgia,30214,4,1/28/1993,29,,Spiritual,Exclusive,Irresponsibly,Regularly,None,,Movie/Play,Event,Solitary,Both,Self_Reliant,Process,GED completed,,"Parenting,Resources,Job,Social,Legal,Budgeting",Independent,None,None,,None,Homosexual,Female,Female,33.4478,-84.4617
Roberto Nelson,Roberto,Nelson,Keys Ferry St,McDonough,Georgia,30253,4,4/8/1993,28,,Other,Unimportant,None,None,None,checked,Shop,Event,Reserved,Extraverted,Advice,Withdraw,"GED completed,Vocational/trade school attending",,"Job,Holidays,Parenting,Mental Health",College,None,Caring for 1,,None,Bisexual,Other,Female,33.447,-84.1464
Roger Collins,Roger,Collins,1350 Spring St NW #1,Atlanta,Georgia,30309,14,5/14/1993,28,White,Other,Inclusive,None,Regularly,"Occasional marijuana,Occasional cigarettes",checked,Friends/Family,Event,Adventurous,Both,Advice,Withdraw,HS diploma completed,,"Holidays,Mental Health,Social,Job",Program,None,None,,None,Homosexual,Other,Male,33.7485,-84.3915
Roger Stiles,Roger,Stiles,2171 Peachtree Rd UNIT 100,Atlanta,Georgia,30309,14,10/27/1992,29,Black/African American,Islam,Inclusive,Responsibly,None,None,,Read/Walk,Nature,Shy,Both,Listen,Withdraw,"GED completed,Vocational/trade school applying",,"Job,Resources,Mental Health,Budgeting,Medical",College,None,Caring for multiple,,None,Bisexual,Other,Female,33.7485,-84.3915
Romeo Stacey,Romeo,Stacey,2505 Antioch Rd,Dalton,Georgia,30721,1,2/7/1993,28,,None,Inclusive,Addicted,Occasionally,None,,Friends/Family,Pampered,Adventurous,Extraverted,Self_Reliant,Reconcile,"HS diploma in progress,College attending",,Budgeting,College,None,None,,Difficult,Bisexual,Female,Male,34.7715,-84.9718
Ronald Dukes,Ronald,Dukes,1378 Boone Ave,Kingsland,Georgia,31548,12,12/14/1992,29,Black/African American,Islam,Inclusive,Irresponsibly,Regularly,None,checked,Shop,New,Friendly,Introverted,Listen,Withdraw,None,,"Mental Health,Legal,Medical,Social,Job",College,None,None,,Important,Homosexual,Female,Other,30.7947,-81.6717
Ronald Young,Ronald,Young,5141 Jonesboro Rd,Morrow,Georgia,30260,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.5786,-84.34
Rosalie Glover,Rosalie,Glover,530 Bankhead Hwy,Carrollton,Georgia,30117,4,4/18/1993,28,,Spiritual,Unimportant,Irresponsibly,Occasionally,None,,Movie/Play,New,Solitary,Extraverted,Listen,React,None,checked,Medical,Homeless,None,None,,None,Bisexual,Other,Male,33.5808,-85.0767
Rosalyn Collins,Rosalyn,Collins,124 N Avondale Rd,Avondale Estates,Georgia,30002,14,1/22/1993,29,Black/African American,Buddhism,Exclusive,Responsibly,Occasionally,None,,Friends/Family,Event,Shy,Introverted,Self_Reliant,React,"GED in progress,College applying",,"Medical,Budgeting,Mental Health,Social",Friend/Family,None,None,,None,Bisexual,Male,Female,33.7708,-84.265
Rose Gonzales,Rose,Gonzales,115 W Park Ave,Abbeville,Georgia,31001,9,2/24/1993,28,Black/African American,None,Inclusive,None,Addicted,"Regular marijuana,Regular cigarettes,Regular vape",,Home,New,Reserved,Extraverted,Self_Reliant,Process,HS diploma in progress,,"Budgeting,Social,Parenting,Legal,Job",Couch_Hopping,None,None,,None,Homosexual,Male,Male,31.9917,-83.3075
Rosia Vaughn,Rosia,Vaughn,4437 Cowan Rd,Tucker,Georgia,30084,14,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.8537,-84.2146
Roy Evans,Roy,Evans,2151 Fort Benning Rd,Columbus,Georgia,31903,8,1/5/1993,29,White,Buddhism,Exclusive,Addicted,None,None,checked,Friends/Family,Nature,Reserved,Extraverted,Self_Reliant,Reconcile,None,checked,"Job,Social,Medical,Resources,Parenting",Independent,None,None,,None,Heterosexual,Female,Other,32.4922,-84.9403
Ruby Sato,Ruby,Sato,701 E Screven St,Quitman,Georgia,31643,11,,,,,,,,,,,,,,,,,,,,,,,,,,Female,30.7847,-83.5608
Russel Giles,Russel,Giles,36 Canal Rd,Brunswick,Georgia,31525,12,4/15/1993,28,,Christianity,Exclusive,Occasionally,None,None,checked,Movie/Play,Pampered,Reserved,Both,Advice,Process,GED in progress,,"Legal,Holidays,Resources,Medical,Budgeting",College,None,None,,Difficult,Heterosexual,Male,Female,31.169,-81.5025
Ryan Lamson,Ryan,Lamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Samantha Cheatham,Samantha,Cheatham,1440 Remington Ave,Thomasville,Georgia,31792,10,,,,,,,,,,,,,,,,,,,,,,,,,,Female,30.8364,-83.9783
Sandra Davis,Sandra,Davis,7807 Nashville St,Ringgold,Georgia,30736,1,,,,,,,,,,,,,,,,,,,,,,,,,,Female,34.9157,-85.1094
Sandra Sherman,Sandra,Sherman,206 Tripp St,Americus,Georgia,31709,8,7/23/1993,28,Black/African American,Islam,Unimportant,Occasionally,Occasionally,None,,Movie/Play,Pampered,Adventurous,Introverted,Advice,Withdraw,HS diploma completed,,"Parenting,Budgeting",Couch_Hopping,None,None,,Difficult,Bisexual,Other,Female,32.0753,-84.2267
Sara Adkins,Sara,Adkins,6193 US_278,Covington,Georgia,30014,5,7/20/1993,28,Black/African American,Hinduism,Unimportant,Irresponsibly,Regularly,None,checked,Read/Walk,Event,Adventurous,Extraverted,Advice,Withdraw,"GED in progress,College applying",,"Holidays,Resources,Parenting,Job,Social,Mental Health",Friend/Family,None,Caring for multiple,,None,Homosexual,Other,Female,33.6,-83.8667
Sara Palacios,Sara,Palacios,111 Sumter St,Oglethorpe,Georgia,31068,8,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.2933,-84.0625
Sarah Wilson,Sarah,Wilson,744 Noah Dr,Jasper,Georgia,30143,1,10/14/1992,29,Hispanic/Latino (non_white),Islam,Unimportant,Irresponsibly,None,"Occasional marijuana,Occasional cigarettes,Regular vape",,Friends/Family,Event,Shy,Both,Self_Reliant,Reconcile,HS diploma completed,,Mental Health,Independent,None,None,,Important,Homosexual,Male,Male,34.4692,-84.4342
Scott Richie,Scott,Richie,135 N Main St,Nahunta,Georgia,31553,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.2044,-81.9822
Shannon Gaughan,Shannon,Gaughan,232 W Hancock Ave,Athens,Georgia,30601,5,1/21/1993,29,Unknown,Islam,Unimportant,Irresponsibly,Occasionally,None,,Movie/Play,Nature,Shy,Both,Listen,React,HS diploma in progress,,"Parenting,Budgeting",Friend/Family,None,None,,Important,Homosexual,Female,Male,33.95,-83.3833
Shanon Summer,Shanon,Summer,2957 Main St,East Point,Georgia,30344,14,11/1/1992,29,,Judaism,Exclusive,Irresponsibly,Addicted,"Occasional marijuana,Regular cigarettes",checked,Home,None,Solitary,Introverted,Self_Reliant,Reconcile,"GED in progress,Vocational/trade school certified",,Resources,Homeless,None,None,,Difficult,Bisexual,Female,Female,33.6761,-84.4514
Sharon Jefferson,Sharon,Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Shelly Summerville,Shelly,Summerville,602 Fair Rd,Statesboro,Georgia,30458,12,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.4453,-81.7792
Sherry Glancy,Sherry,Glancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Stacy Wilks,Stacy,Wilks,510 Lakeland Plaza,Cumming,Georgia,30040,2,5/25/1993,28,White,None,Unimportant,Irresponsibly,Regularly,None,,Friends/Family,Event,Solitary,Extraverted,Advice,Withdraw,"GED in progress,College attending",,"Holidays,Medical,Resources,Budgeting",College,None,None,,Important,Homosexual,Other,Male,34.2083,-84.1375
Stephanie Abdul,Stephanie,Abdul,101 Princeton Blvd,Adairsville,Georgia,30103,3,9/12/1992,29,White,Christianity,Unimportant,Occasionally,Addicted,None,,Home,Event,Friendly,Introverted,Advice,Process,"GED in progress,College attending",,"Parenting,Mental Health,Legal,Social,Medical,Job,Holidays",Independent,None,None,,Important,Heterosexual,Female,Other,34.3698,-84.9277
Stephanie Allen,Stephanie,Allen,2700 Dawson Rd STE 14,Albany,Georgia,31707,10,11/8/1992,29,Black/African American,Christianity,Unimportant,Occasionally,Regularly,None,checked,Shop,Event,Friendly,Introverted,Self_Reliant,React,None,checked,"Mental Health,Holidays,Medical,Job,Legal",Independent,None,"Caring for multiple,1 in kincare,Multiple in welfare",,Difficult,Heterosexual,Female,Female,31.5785,-84.1559
Stephen Henry,Stephen,Henry,625 Jefferson St,LaGrange,Georgia,30240,4,10/26/1992,29,White,Hinduism,Exclusive,Addicted,Addicted,"Occasional marijuana,Regular cigarettes,Regular vape",checked,Home,Nature,Solitary,Both,Advice,Reconcile,GED completed,,Budgeting,Homeless,None,None,,Difficult,Heterosexual,Male,Other,33.0367,-85.0319
Stephen Leblanc,Stephen,Leblanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Susan Clark,Susan,Clark,11386 Tara Blvd,Hampton,Georgia,30228,4,10/22/1992,29,,Christianity,Inclusive,Responsibly,Addicted,None,checked,Shop,New,Reserved,Extraverted,Advice,React,HS diploma completed,,"Parenting,Budgeting,Job,Resources,Social,Holidays,Medical",Friend/Family,None,None,,None,Bisexual,Male,Female,33.3834,-84.2833
Susan Gonzales,Susan,Gonzales,514 S Main St,Statesboro,Georgia,30458,12,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.4453,-81.7792
Tammie Amaya,Tammie,Amaya,106 E Main St,Alamo,Georgia,30411,9,12/2/1992,29,Mixed Race,Hinduism,Inclusive,Occasionally,Regularly,None,checked,Home,None,Shy,Extraverted,Listen,Reconcile,None,,Holidays,Homeless,None,None,,Important,Heterosexual,Female,Male,32.1483,-82.7786
Teri Bush,Teri,Bush,1618 N Expy,Griffin,Georgia,30223,4,8/12/1993,28,,Spiritual,Exclusive,Irresponsibly,Occasionally,Regular marijuana,checked,Friends/Family,Pampered,Reserved,Introverted,Advice,React,HS diploma in progress,,"Social,Parenting",Couch_Hopping,None,None,,Difficult,Bisexual,Female,Female,33.2444,-84.2639
Teri Marsden,Teri,Marsden,4550 Jonesboro Rd,Union City,Georgia,30291,14,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.5783,-84.5433
Terri Olson,Terri,Olson,3850 Roswell Rd NE #100,Atlanta,Georgia,30342,14,12/31/1992,29,Black/African American,Christianity,Exclusive,Addicted,Occasionally,None,,Read/Walk,Event,Friendly,Both,Listen,React,GED completed,,"Job,Mental Health,Medical,Holidays",Friend/Family,None,None,,None,Heterosexual,Other,Male,33.7485,-84.3915
Terry Willis,Terry,Willis,2700 Lawrenceville_Suwanee Rd,Suwanee,Georgia,30024,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.0575,-84.0666
Theresa Peters,Theresa,Peters,3360 Satellite Blvd #8,Duluth,Georgia,30096,13,3/9/1993,28,,Hinduism,Exclusive,Occasionally,Addicted,None,,Movie/Play,Pampered,Reserved,Extraverted,Self_Reliant,Reconcile,HS diploma in progress,,"Budgeting,Holidays",Friend/Family,None,None,,None,Heterosexual,Male,Other,34.0031,-84.1456
Therese Lemaire,Therese,Lemaire,1389 US_29,Newnan,Georgia,30263,4,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.3764,-84.7886
Thomas Kramer,Thomas,Kramer,107 E Church St,Andersonville,Georgia,31711,8,11/27/1992,29,White,Other,Inclusive,Occasionally,None,"Regular marijuana,Regular cigarettes,Regular vape",,Friends/Family,Event,Adventurous,Introverted,Listen,Reconcile,"HS diploma completed,Vocational/trade school certified",,"Medical,Holidays,Legal,Job,Parenting",Friend/Family,None,None,,Difficult,Homosexual,Male,Female,32.1969,-84.1417
Thomas Munn,Thomas,Munn,82 GA_61,Villa Rica,Georgia,30180,4,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.7319,-84.92
Thomas Olsen,Thomas,Olsen,5004 Appalachian Hwy #1,Blue Ridge,Georgia,30513,1,2/19/1993,28,Black/African American,Hinduism,Exclusive,Responsibly,Regularly,None,checked,Read/Walk,None,Shy,Both,Advice,Withdraw,HS diploma completed,,"Parenting,Social,Mental Health,Budgeting,Legal,Job",Independent,None,None,,None,Bisexual,Female,Other,34.8655,-84.3253
Thomas Vincent,Thomas,Vincent,6192 Joe Frank Harris Pkwy NW,Adairsville,Georgia,30103,3,12/14/1992,29,,Judaism,Inclusive,Occasionally,None,Regular marijuana,,Home,Pampered,Shy,Both,Listen,React,None,,"Legal,Medical",Friend/Family,"Jail,Current Probation",None,,Important,Homosexual,Male,Male,34.3698,-84.9277
Timothy Haley,Timothy,Haley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Timothy Henderson,Timothy,Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Tina Way,Tina,Way,300 Elbert St,Elberton,Georgia,30635,5,5/28/1993,28,,Hinduism,Unimportant,None,Addicted,Occasional marijuana,,Home,Event,Reserved,Introverted,Advice,React,"HS diploma in progress,Vocational/trade school applying",,"Medical,Budgeting",College,"Jail,Arrested",None,,Important,Heterosexual,Female,Other,34.1099,-82.8681
Tom Noyes,Tom,Noyes,210 S Main St,Odum,Georgia,31555,9,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.6661,-82.0286
Tommy Lambert,Tommy,Lambert,234 Broad St,Rome,Georgia,30161,3,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.2605,-85.1806
Tonya Allen,Tonya,Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Vanessa Kelly,Vanessa,Kelly,5391 Hwy 53 #106,Braselton,Georgia,30517,5,10/8/1992,29,White,Spiritual,Unimportant,Addicted,Addicted,None,checked,Movie/Play,None,Shy,Extraverted,Self_Reliant,Reconcile,"HS diploma in progress,Vocational/trade school attending",,"Medical,Legal,Budgeting,Mental Health,Holidays,Resources,Social",College,None,None,,Important,Homosexual,Male,Male,34.107,-83.7624
Victor Clark,Victor,Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Vincent Harris,Vincent,Harris,597 Barnsley Gardens Rd NW,Adairsville,Georgia,30103,3,12/6/1992,29,,Spiritual,Unimportant,Irresponsibly,Regularly,None,,Read/Walk,Pampered,Reserved,Introverted,Listen,Process,"HS diploma in progress,Vocational/trade school applying",,"Parenting,Social,Resources,Holidays,Medical,Budgeting",Couch_Hopping,None,None,,Difficult,Heterosexual,Male,Other,34.3698,-84.9277
Virginia Anderson,Virginia,Anderson,1408 Tallahassee Hwy STE C,Bainbridge,Georgia,39819,10,9/2/1993,28,Black/African American,Islam,Inclusive,Responsibly,Regularly,None,checked,Friends/Family,Nature,Shy,Extraverted,Listen,Process,"HS diploma completed,College degree",,"Social,Mental Health,Parenting,Holidays",Couch_Hopping,None,None,,None,Homosexual,Female,Male,30.9052,-84.5756
Virginia Egan,Virginia,Egan,44 Chambers St,Jasper,Georgia,30143,1,5/26/1993,28,Black/African American,Hinduism,Inclusive,Addicted,Occasionally,"Occasional marijuana,Regular cigarettes,Occasional vape",,Read/Walk,Event,Reserved,Extraverted,Listen,React,HS diploma in progress,,"Social,Legal,Holidays,Job,Budgeting",Friend/Family,None,None,,Difficult,Homosexual,Other,Male,34.4692,-84.4342
Virginia Griffin,Virginia,Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Virginia Robinson,Virginia,Robinson,1541 Griffin Hwy,Griffin,Georgia,30218,4,8/10/1993,28,Black/African American,Christianity,Exclusive,Irresponsibly,Addicted,"Occasional marijuana,Regular cigarettes,Regular vape",checked,Home,Event,Friendly,Introverted,Listen,React,"HS diploma completed,Vocational/trade school certified",,"Medical,Social,Budgeting,Job,Resources",Independent,None,None,,Important,Homosexual,Female,Other,33.2444,-84.2639
Virginia Wimbley,Virginia,Wimbley,840 Shoney's Dr,Ashburn,Georgia,31714,11,9/4/1993,28,Black/African American,Hinduism,Exclusive,Irresponsibly,Regularly,Occasional marijuana,,Home,Event,Shy,Introverted,Listen,React,GED in progress,,"Medical,Social",Couch_Hopping,Arrested,None,,Difficult,Heterosexual,Other,Female,31.7044,-83.6539
Wendy Cabrera,Wendy,Cabrera,533 E Washington Ave,Ashburn,Georgia,31714,11,12/10/1992,29,Black/African American,Hinduism,Inclusive,Irresponsibly,Regularly,None,checked,Read/Walk,Event,Friendly,Introverted,Advice,Process,"GED completed,College degree",,"Holidays,Budgeting,Social",Friend/Family,None,None,,Difficult,Bisexual,Other,Male,31.7044,-83.6539
Wes Conroy,Wes,Conroy,307 1st St,Uvalda,Georgia,30473,9,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.0378,-82.5089
William Beck,William,Beck,898 Buckhead Dr,Statesboro,Georgia,30458,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.4453,-81.7792
William Cary,William,Cary,3208 Buford Dr,Buford,Georgia,30519,13,2/8/1993,28,Black/African American,Judaism,Exclusive,None,Regularly,"Occasional marijuana,Occasional cigarettes",checked,Friends/Family,New,Reserved,Extraverted,Advice,Process,HS diploma in progress,,"Resources,Medical,Legal",Homeless,None,"Caring for 1,Multiple in kincare",,Difficult,Bisexual,Female,Male,34.1169,-83.9986
William Maldonado,William,Maldonado,410 N Hutchinson Ave,Adel,Georgia,31620,11,7/10/1993,28,,Other,Exclusive,None,Occasionally,None,checked,Friends/Family,None,Solitary,Both,Self_Reliant,Withdraw,HS diploma completed,,"Legal,Social,Job",Program,None,None,,Difficult,Homosexual,Other,Female,31.1383,-83.4258
William Pollard,William,Pollard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
William Regis,William,Regis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
William Stevens,William,Stevens,724 W 2nd St,Tifton,Georgia,31794,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.4633,-83.51
William Stidham,William,Stidham,210 Meridian Dr,Grovetown,Georgia,30813,7,3/13/1993,28,Black/African American,Judaism,Inclusive,Addicted,None,"Occasional marijuana,Occasional cigarettes",,Home,Pampered,Adventurous,Introverted,Self_Reliant,React,HS diploma completed,,"Holidays,Job,Resources,Budgeting,Mental Health",Homeless,None,None,,Important,Homosexual,Other,Male,33.4494,-82.1969
William Stone,William,Stone,121 S Broad St,Bainbridge,Georgia,39817,10,7/23/1993,28,,Spiritual,Unimportant,Irresponsibly,Addicted,None,,Read/Walk,Pampered,Shy,Both,Advice,Withdraw,GED in progress,,"Budgeting,Holidays,Parenting,Legal,Social",Homeless,None,None,,Difficult,Bisexual,Male,Male,30.9052,-84.5756
Wilma Baca,Wilma,Baca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Zulema Blair,Zulema,Blair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
